項目名,"鉱工業指数　生産　鉄鋼業"
1985/01,100.9
1985/02,99.1
1985/03,107.5
1985/04,107
1985/05,107.8
1985/06,104.9
1985/07,104.6
1985/08,101.8
1985/09,101.3
1985/10,104.3
1985/11,102.3
1985/12,100.8
1986/01,98.6
1986/02,94.4
1986/03,102.3
1986/04,99.9
1986/05,101.4
1986/06,97.5
1986/07,98.9
1986/08,92.5
1986/09,95.3
1986/10,99.2
1986/11,96.3
1986/12,95.9
1987/01,93
1987/02,88.1
1987/03,98.6
1987/04,97.8
1987/05,98.8
1987/06,98
1987/07,102.1
1987/08,98.4
1987/09,99.8
1987/10,106.6
1987/11,106.1
1987/12,108.3
1988/01,106.5
1988/02,104.7
1988/03,110.6
1988/04,106.1
1988/05,109
1988/06,108.9
1988/07,108.6
1988/08,106.3
1988/09,110.1
1988/10,112.6
1988/11,110.1
1988/12,109.5
1989/01,108.3
1989/02,103.2
1989/03,114.1
1989/04,110.4
1989/05,112.2
1989/06,111.2
1989/07,112.3
1989/08,107.5
1989/09,109.9
1989/10,115
1989/11,111.5
1989/12,112.4
1990/01,109.7
1990/02,104.6
1990/03,113.7
1990/04,110.3
1990/05,113.5
1990/06,112.8
1990/07,114.5
1990/08,111.7
1990/09,113.8
1990/10,119.5
1990/11,118.4
1990/12,117.4
1991/01,116.1
1991/02,111.2
1991/03,121.1
1991/04,115.3
1991/05,118.7
1991/06,115.7
1991/07,117.4
1991/08,111.4
1991/09,112.9
1991/10,115.8
1991/11,109.4
1991/12,106.3
1992/01,102.6
1992/02,100.9
1992/03,105.6
1992/04,101.2
1992/05,102.6
1992/06,103.6
1992/07,105
1992/08,99.6
1992/09,104.8
1992/10,105.9
1992/11,104.4
1992/12,102.3
1993/01,101
1993/02,97.6
1993/03,105.3
1993/04,99.9
1993/05,104
1993/06,104.9
1993/07,104.9
1993/08,97.6
1993/09,100.4
1993/10,99.8
1993/11,95.1
1993/12,92.1
1994/01,90.8
1994/02,89.6
1994/03,98.7
1994/04,94.9
1994/05,98.3
1994/06,101.3
1994/07,100.6
1994/08,98.4
1994/09,103.4
1994/10,105.7
1994/11,106.5
1994/12,105
1995/01,101.5
1995/02,100.2
1995/03,110.7
1995/04,105.5
1995/05,108.2
1995/06,106.3
1995/07,105.2
1995/08,97.3
1995/09,101
1995/10,102.6
1995/11,100.4
1995/12,99.9
1996/01,97
1996/02,97.8
1996/03,102
1996/04,98.7
1996/05,100.9
1996/06,100.4
1996/07,102.1
1996/08,96.2
1996/09,99.9
1996/10,106.1
1996/11,104.3
1996/12,101.8
1997/01,104.8
1997/02,101.5
1997/03,111.1
1997/04,104.6
1997/05,109
1997/06,107.1
1997/07,108.3
1997/08,102.5
1997/09,105.7
1997/10,107.4
1997/11,103.3
1997/12,100.8
1998/01,99.4
1998/02,96
1998/03,101.4
1998/04,92.8
1998/05,92.4
1998/06,93.4
1998/07,92.1
1998/08,88.6
1998/09,94.2
1998/10,93.7
1998/11,90
1998/12,89.1
1999/01,87.8
1999/02,85.8
1999/03,90.3
1999/04,85.5
1999/05,88.2
1999/06,89.7
1999/07,92.9
1999/08,92.1
1999/09,95.5
1999/10,97.8
1999/11,97.1
1999/12,96.3
2000/01,96.7
2000/02,95.9
2000/03,102.6
2000/04,97.4
2000/05,102.4
2000/06,102.5
2000/07,102.5
2000/08,101.8
2000/09,104.2
2000/10,105.1
2000/11,103.9
2000/12,103.7
2001/01,101
2001/02,96.2
2001/03,105.6
2001/04,95.7
2001/05,98.7
2001/06,98.3
2001/07,97.9
2001/08,95.3
2001/09,97.4
2001/10,97
2001/11,95.3
2001/12,92
2002/01,94
2002/02,92.3
2002/03,100.9
2002/04,95.8
2002/05,102
2002/06,101.4
2002/07,102.7
2002/08,102.1
2002/09,104.2
2002/10,105.1
2002/11,104.8
2002/12,103.8
2003/01,104.6
2003/02,98.9
2003/03,108.6
2003/04,102.9
2003/05,107.2
2003/06,105.3
2003/07,105.9
2003/08,102.6
2003/09,106.5
2003/10,110.4
2003/11,105.6
2003/12,104.8
2004/01,107.2
2004/02,104.4
2004/03,113.6
2004/04,108.4
2004/05,108.9
2004/06,109
2004/07,110.7
2004/08,107.8
2004/09,109.4
2004/10,112.5
2004/11,111.3
2004/12,109.4
2005/01,109.4
2005/02,102.9
2005/03,114.1
2005/04,109.1
2005/05,112
2005/06,111
2005/07,108.9
2005/08,104.6
2005/09,107.6
2005/10,110.8
2005/11,107
2005/12,104.6
2006/01,106.1
2006/02,103.5
2006/03,113.7
2006/04,107.1
2006/05,110.3
2006/06,111.3
2006/07,112.2
2006/08,109
2006/09,113.8
2006/10,118.4
2006/11,115
2006/12,114.9
2007/01,114.4
2007/02,107.8
2007/03,120.6
2007/04,112.7
2007/05,115.9
2007/06,114.6
2007/07,116.6
2007/08,112.3
2007/09,113.4
2007/10,118.8
2007/11,116.2
2007/12,115.3
2008/01,114.1
2008/02,113.6
2008/03,121.2
2008/04,114.5
2008/05,114.8
2008/06,115.8
2008/07,117.7
2008/08,108
2008/09,114.1
2008/10,113.8
2008/11,100
2008/12,82.7
2009/01,68
2009/02,57.6
2009/03,61.7
2009/04,59.6
2009/05,66.4
2009/06,74.2
2009/07,81.1
2009/08,82.4
2009/09,88.5
2009/10,92.9
2009/11,94.3
2009/12,95.1
2010/01,93.8
2010/02,93.1
2010/03,105.6
2010/04,98.5
2010/05,100.1
2010/06,103
2010/07,102.6
2010/08,96.4
2010/09,103.2
2010/10,102.7
2010/11,99.9
2010/12,101
2011/01,101.6
2011/02,98.1
2011/03,97.2
2011/04,88.5
2011/05,89.6
2011/06,97.7
2011/07,100
2011/08,97.4
2011/09,101
2011/10,103.3
2011/11,98.3
2011/12,94.4
2012/01,96
2012/02,97.7
2012/03,105.5
2012/04,97.9
2012/05,100.1
2012/06,100.3
2012/07,101.2
2012/08,96.8
2012/09,96.1
2012/10,96.8
2012/11,91.4
2012/12,90
2013/01,94.1
2013/02,90.7
2013/03,101.3
2013/04,96.6
2013/05,99.2
2013/06,97.1
2013/07,99.9
2013/08,95.2
2013/09,99.8
2013/10,102.4
2013/11,100
2013/12,99
2014/01,100.8
2014/02,93.9
2014/03,104.4
2014/04,98
2014/05,100.5
2014/06,98.7
2014/07,101.5
2014/08,95.8
2014/09,100.5
2014/10,101.6
2014/11,96.7
2014/12,94.7
2015/01,96.4
2015/02,90.6
2015/03,99.9
2015/04,90.9
2015/05,92.6
2015/06,93.4
2015/07,94.8
2015/08,89.4
2015/09,93
2015/10,95.2
2015/11,92.2
2015/12,90.6
2016/01,91.5
2016/02,88.9
2016/03,95.8
2016/04,89.3
2016/05,91.5
2016/06,92.3
2016/07,93.5
2016/08,90.9
2016/09,93
2016/10,95.5
2016/11,93.6
2016/12,93.3
2017/01,93.4
2017/02,90.7
2017/03,98.9
2017/04,94.4
2017/05,94
2017/06,93.5
2017/07,92.9
2017/08,92.1
2017/09,95.6
2017/10,97.4
2017/11,95.5
2017/12,94
2018/01,94.7
2018/02,91.2
2018/03,101
2018/04,
2018/05,
2018/06,
2018/07,
2018/08,
2018/09,
2018/10,
2018/11,
2018/12,
